"_id",address,area,direction,price,region,rooms,title,traffic
5cd8e3ee66ce8e8a800755d3,西岗-鞍山路-沈铁龙畔锦城,90,"朝南北
            ",3600,西岗,2室2厅,西岗鞍山路 龙畔锦城 房屋干净 拎包入住 随时入住,
5cd8e3ee66ce8e8a800755d4,西岗-鞍山路-鞍山路,55,"朝南北
            ",2200,西岗,2室1厅,"拎包入住,价格便宜,年亲人可选,五一广场",距2号线人民广场站约1168米。
5cd8e3ee66ce8e8a800755d5,西岗-香炉礁-香工街,60,"朝南北
            ",1600,西岗,2室1厅,"香工街,地铁站旁,正规两室,随时看房,有钥匙",距1号线中长街站约585米。
5cd8e3ee66ce8e8a800755d6,西岗-新开路-北京街,36,"朝南
            ",2000,西岗,1室1厅,青泥洼桥柏威年人民广场火车站附近近地铁市内交通零换乘电梯房,距2号线人民广场站约773米。
5cd8e3ee66ce8e8a800755d7,西岗-鞍山路-沈铁龙畔锦城,90,"朝南北
            ",3600,西岗,2室2厅,鞍山路 龙畔锦城 南北通透 看房方便 交通便利,
5cd8e3ee66ce8e8a800755d8,西岗-新起屯-新起小区,44,"朝南
            ",1300,西岗,1室1厅,新起屯 道边无坡 一室一厅南向 家电全 下楼是车站市场,
5cd8e3ee66ce8e8a800755d9,西岗-鞍山路-鞍山路,70,"朝南北
            ",2300,西岗,2室1厅,"适合年轻人,采光好,拎包入住,家电齐全",距2号线人民广场站约1168米。
5cd8e3ee66ce8e8a800755da,西岗-新开路-润德广场,48,"朝北
            ",2300,西岗,1室1厅,新开路润德广场精装修好房急租,距2号线一二九街站约757米。
5cd8e3ee66ce8e8a800755db,西岗-新开路-赛维利大厦,44,"朝南
            ",2500,西岗,1室1厅,黄河路 赛维利 精装修 出租 采光好 随时看房 拎包入住,距2号线一二九街站约677米。
5cd8e3ee66ce8e8a800755dc,西岗-鞍山路-铁路西站,70,"朝南北
            ",2300,西岗,2室1厅,五一广场 鞍山路铁路西站 南北通透 看房有钥匙,距2号线一二九街站约1011米。
5cd8e3ee66ce8e8a800755dd,西岗-新开路-实验小学,34,"朝南
            ",2000,西岗,1室1厅,一二九街人民广场商圈楼下就是地铁站中山路黄河路附近看房方便,距2号线一二九街站约386米。
5cd8e3ee66ce8e8a800755de,西岗-石道街-石松小区,47,"朝南
            ",1200,西岗,1室1厅,石道街 石松小区 一室半 干净亮堂拎包住家电全近市场,
5cd8e3ee66ce8e8a800755df,西岗-八一路-八一路,68,"朝南北
            ",2200,西岗,2室1厅,八一路西岗附近精装2室1厅南北向空房家电家具可配近车站,
5cd8e3ee66ce8e8a800755e0,西岗-八一路-八一路,35,"朝南
            ",1350,西岗,1室1厅,八一路转盘附近1室1厅南向无坡近车站超市看房预约,
5cd8e3ee66ce8e8a800755e1,西岗-五一广场-银寰花园,165,"朝南北
            ",6000,西岗,5室1厅,五一广场 银寰花园 E座 大面积办公房 有钥匙 急租 交通便,距2号线人民广场站约565米。
5cd8e3ee66ce8e8a800755e2,西岗-新开路-润德广场,67,"朝东
            ",3000,西岗,2室1厅,润德广场 精装修公寓 两室一厅 拎包入住 随时可看房,距2号线一二九街站约757米。
5cd8e3ee66ce8e8a800755e3,西岗-长春路-新起屯小区,60,"朝南北
            ",2300,西岗,2室1厅,南北两室!精装修家电齐全!近车站市场!生活方便!新起屯,
5cd8e3ee66ce8e8a800755e4,西岗-奥林匹克广场-万达华府,121,"朝南北
            ",6000,西岗,3室2厅,奥林匹克体育场 万达华府一期 精装3居 家电全 拎包住,距2号线人民广场站约461米。
5cd8e3ee66ce8e8a800755e5,西岗-奥林匹克广场-万达华府二期,44,"朝北
            ",2300,西岗,1室1厅,五一广场 万达华府 精装小户型 家电全 低价出租 有煤气,距2号线人民广场站约515米。
5cd8e3ee66ce8e8a800755e6,西岗-鞍山路-龙畔锦城,68,"朝南
            ",2800,西岗,2室1厅,五一广场鞍山路龙畔锦城两室南北通透户型房屋干净整洁,
5cd8e3ee66ce8e8a800755e7,西岗-鞍山路-沈铁龙畔锦城,86,"朝西北
            ",3600,西岗,2室1厅,五一广场 龙畔锦城 北京街 精装修 家具全 屋里干净,
5cd8e3ee66ce8e8a800755e8,西岗-北岗桥-站北新居,76,"朝南北
            ",2300,西岗,2室1厅,新开路人民广场商圈10年新房电梯楼精装修南北通透房主诚心租,
5cd8e3ee66ce8e8a800755e9,西岗-新开路-赛维利大厦,50,"朝南
            ",1700,西岗,1室1厅,急租赛维利大厦精装修1电梯房拎包入住 随时看房,距2号线一二九街站约677米。
